id,model-id,model,intelligence,speed,text-input,image-input,voice-input,video-input,text-output,image-output,audio-output,video-output,reasoning,input-price,cached-input,output-price,window-context,max-output,knowledge-cutoff,completion-endpoint,responses-endpoint,assistants-endpoint,batch-endpoint,fine-tuning-endpoint,streaming,function-calling,structured-output,fine-tuning,distillation,predicted-outputs,rate-limit-free,rate-limit-tier-one,rate-limit-tier-two,rate-limit-tier-three,rate-limit-tier-four,rate-limit-tier-five,
11,openai/gpt-4,GPT-4,2,3,1,0,0,0,1,0,0,0,0,30,0,60,8192,8192,2023-12-01,1,1,1,1,1,1,0,0,1,0,0,,10000,40000,80000,300000,1000000,
12,openai/gpt-4o-audio-preview,GPT-4o-Audio,3,3,1,0,1,0,1,0,1,0,0,2.5,,10,128000,16384,2023-10-01,1,0,0,0,0,1,1,0,0,0,0,,30000,450000,800000,2000000,30000000,
13,openai/gpt-4o-mini-search-preview,GPT-4o-mini-Search-Preview,2,4,1,0,0,0,1,0,0,0,0,0.15,,0.6,128000,16384,2023-10-01,1,0,0,0,0,1,0,1,0,0,0,"40,000",200000,2000000,4000000,10000000,150000000,
14,openai/gpt-4o-mini,GPT-4o-mini,2,4,1,1,0,0,1,0,0,0,0,0.15,0.08,0.6,128000,16384,2023-10-01,1,1,1,1,1,1,1,1,1,0,1,"40,000",200000,2000000,4000000,10000000,150000000,
15,openai/gpt-4o,GPT-4o,3,3,1,1,0,0,1,0,0,0,0,2.5,1.25,10,128000,16384,2023-10-01,1,1,1,1,1,1,1,1,1,1,1,,30000,450000,800000,2000000,30000000,
16,openai/gpt-5-chat,GPT-5-Chat,3,3,1,1,0,0,1,0,0,0,0,1.25,0.13,10,128000,16384,2024-09-30,1,1,0,0,0,1,1,1,0,0,0,,30000,450000,800000,2000000,30000000,
17,openai/gpt-5-mini,GPT-5-mini,3,4,1,1,0,0,1,0,0,0,1,0.25,0.03,2,400000,128000,2024-05-31,1,1,0,1,0,1,1,1,0,0,0,,500000,2000000,4000000,10000000,180000000,
18,openai/gpt-5-nano,GPT-5-nano,2,5,1,1,0,0,1,0,0,0,1,0.05,0.01,0.4,400000,128000,2024-05-31,1,1,0,1,0,1,1,1,0,0,0,,200000,2000000,4000000,10000000,180000000,
19,openai/gpt-5.1-chat,GPT-5.1-Chat,3,3,1,1,0,0,1,0,0,0,0,1.25,0.13,10,128000,16384,2024-09-30,1,1,0,0,0,1,1,1,0,0,0,,30000,450000,800000,2000000,30000000,
20,openai/gpt-5.1,GPT-5.1,4,4,1,1,0,0,1,0,0,0,1,1.25,0.13,10,400000,128000,2024-09-30,1,1,0,0,0,1,1,1,0,1,0,,500000,1000000,2000000,4000000,40000000,
21,openai/gpt-5,GPT-5,4,3,1,1,0,0,1,0,0,0,1,1.25,0.13,10,400000,128000,2024-09-30,1,1,0,1,0,1,1,1,0,1,0,,500000,1000000,2000000,4000000,40000000,
22,openai/o3-mini,o3-mini,4,3,1,0,0,0,1,0,0,0,1,1.1,0.55,4.4,200000,100000,2023-10-01,1,1,1,1,0,1,1,1,0,0,0,,100000,200000,4000000,10000000,150000000,
23,openai/o3,o3,5,1,1,1,0,0,1,0,0,0,1,2,0.5,8,200000,100000,2024-06-01,1,1,0,1,0,1,1,1,0,0,0,,30000,450000,800000,2000000,30000000,
24,openai/gpt-5.2,GPT-5.2,4,4,1,1,0,0,1,0,0,0,1,1.75,0.18,14,400000,128000,2025-08-31,1,1,0,0,0,1,1,1,0,1,0,,500000,1000000,2000000,4000000,40000000,
25,openai/gpt-5.2-chat,GPT-5.2-Chat,3,3,1,1,0,0,1,0,0,0,0,1.75,0.18,14,128000,16384,2025-08-31,1,1,0,0,0,1,1,1,0,0,0,,30000,450000,800000,2000000,40000000,
